gradeblock_id,name,boundary
1,HGB6,"POLYGON ((51.403285 59.102822, 15.594481 40.175311, 14.38613 39.536611, 14.109373 39.390325, 19.117499 35.922005, 20.959478 34.646364, 21.268209 34.432556, 21.597214 34.232995, 27.582064 30.60284, 34.213859 26.580276, 34.736321 26.263373, 55.507057 37.330406, 55.944553 37.563513, 55.831299 38.100681, 55.582138 39.282457, 53.975941 46.900676, 52.081755 55.88483, 51.465017 58.810027, 51.403285 59.102822))"
2,WH7,"POLYGON ((0.122 29.606767, 0 31.494767, 0 34.590667, 0 41.091127, 0 49.898786, 0.454255 49.545313, 2.493898 47.95819, 2.814356 47.70883, 3.639 47.067144, 4.902945 46.08362, 5.40073 45.696276, 5.478247 45.635957, 5.551498 45.578957, 5.849677 45.346933, 8.083400 43.608789, 8.800037 43.067245, 8.981953000000001 42.941261, 10.418871 41.94614, 10.561365 41.847458, 12.276908 40.659378, 13.563865 39.76811, 14.109373 39.390325, 14.738597 38.954564, 15.003957 38.770792, 16.546484 37.702532, 16.637709 37.639356, 18.881931 36.085146, 19.117499 35.922005, 20.959478 34.646364, 21.597214 34.232995, 25.973195 31.578712, 27.582064 30.60284, 28.245005 30.200729, 30.24695 28.986434, 41.816204 30.035666, 42.169659 30.223993, 42.251947 30.267838, 48.653316 33.678606, 48.875143 33.796799, 49.132603 33.933979, 55.507057 37.330406, 55.944553 37.563513, 57.287283 31.194926, 57.68803 29.294176, 57.830208 28.619821, 57.920971 28.189332, 58.731612 24.344449, 59.235972 21.952259, 59.75284 19.500746, 59.905609 18.776159, 60.019659 18.235218, 60.19646 17.396649, 60.881682 14.146632, 58.099472 12.626977, 54.679769 10.759119, 51.581645 9.066909, 51.099534 8.803578, 47.872969 7.041213, 44.369331 5.12751, 43.030019 4.395971, 40.950366 3.260055, 39.181748 2.294028, 38.347926 1.838591, 38.329907 1.828749, 37.065194 1.137957, 36.349339 0.746953, 35.98969 0.550511, 35.60172 0.3386, 34.981806 0, 24.59843 9.999421, 23.640437 10.734009, 17.959111 14.763066, 15.936748 16.130753, 13.862234 17.050619, 11.330968 17.894942, 9.089 18.642767, 7.574 19.267767, 5.941 20.224767, 4.456 21.397767, 3.147 22.765767, 2.04 24.300767, 1.157 25.974767, 0.513 27.754767, 0.122 29.606767))"
